Águila Roja;La que tiene el mejor sabor
Almendra Tropical;La más rendidora del mercado
Bemoka;La que tiene el mejor aroma
Córdoba;La que tiene el precio más justo
Éxito;La que tiene la mejor calidad
Juan Valdez;La más representativa de mi país
JBO/Jumbo;La que más inspira a cumplir los sueños
La Bastilla;100% café colombiano
Lukafe;La más innovadora
Mariscal;La más tradicional
Matiz ;La que tiene la mejor publicidad
Medalla de Oro;La más reconocida
Morasurco;La que más apoya a la superación personal
New Colony;La mejor para compartir en familia
Olímpica;Es una marca gourmet/premium
Oma;La que mejor acompaña momentos especiales
Sello Rojo;La más natural
Viejo Molino;La mejor para compartir con mis amigos
La más apropiada para los expertos en café
La más divertida/ alegre
La que menos deja residuos y cunchos
La que ofrece mayor variedad de cafés molidos
La más experta en café molido
La que hace las mejores promociones / ofertas
La más económica
Choco Break;Tiene el sabor que más me gusta
Gol;Tiene más variedad de sabores 
Jet 12 gr;Me da las mejores cosas para coleccionar
Jet Burbujas;Tiene mayor variedad de formas y tamaños
Jet Cookies and Cream;Es la más divertida
Jet Cremosita;Es la que me gusta recibir como premio
Jet Cruji;Es mi marca preferida/favorita
Jet Gool (Balones);Es la que más le gusta a mis amigos  
Jet Leche y Calcio;Es para niños como yo
Jet Saurios;Es la que está de moda   
Jet Tricolor;Es la que me gusta que me regalen
Jet Wafer;Es la mejor para la lonchera   
Jumbo Dots;Es para comer en cualquier momento
Jumbo (Maní);La que mis papás me dejan comer
Kinder Bueno;Me enseña cosas nuevas
Kinder Sorpresa/Huevo  ; Es especial para niños
Milky Way;Es diferente de otras marcas de chocolates
Milo;Tiene personajes para los niños
M&M´s ;Es buena para compartir
Muuu;
Noggy;
Nucita ;
Roletto ;
Snickers;
Choco Break;Participa en los eventos que más me gustan
Chocolate Santander;Tiene el sabor que más me gusta
Chocolatina Choco Lyne;Es la que me da más energía
Ferrero Rocher;Es la que acostumbro consumir
Garoto ;Es la mejor para regalar
Gol;Es la marca de siempre
Golpe;Es la que más le gusta a mis amigos
Hershey’s Cookies ‘n’Creme;Es la que consumo para darme un gusto
Jet 12 grs;Es la ideal para compartir
Jet Burbujas;Es la más moderna y actual
Jet Cookies and Cream;Es con la que más me identifico/Es la marca para mí
Jet Cruji;Tiene los empaques más llamativos/los que más me gustan
Jet Wafer;Es la que mejor calma el hambre
Jumbo Almendras;Tiene mayor variedade de sabores
Jumbo Dots;Me permite compartir momentos especiales
Jumbo (Maní);Es diferente de otras marcas de chocolate
Jumbo Flow;Son buenos para cualquier ocasión
Jumbo Mix;Me lo como sin culpa
Kit Kat;Es una marca con la que aprendo
M&M’s;"Tiene más variedad de ingredientes (Vienen con más ingredientes como galleta, maní, nuez, arequipe, etc.)"
Milky Way;Me da las mejores cosas para coleccionar
Milo;
Mont Blanc (Estuches)/Bombones de Chocolate  ;
Mont Blanc Blanca/Barra de Chocolate Blanco;
Noggy;
Roletto;
Snickers;
Topsi;
Chocolisto chocolate ;Tiene el mejor sabor a chocolate
Chocolisto fresa;La que le da más energía a los niños          
Chocolisto 50% menos azúcar ;La más fácil de preparar
Chicos JGB;La mejor para deportistas
Choco Crash;Es la más deliciosa
Frescavena ;Se puede comer como golosina
Kola Granulada JGB Tarrito Rojo;Tiene el mejor respaldo del fabricante
Milo;Es la preferida por los niños
Milo Free;Es para todos los días
MK Kola Granulada;Tiene los empaques más llamativos
Nesquik ;La más saludable
Nucita;La que más alimenta a los niños
Sustagen;Tiene un sabor único
Toddy;Es la que se utiliza para premiar a los niños
Es para toda la familia
Tiene variedad de sabores
Tiene el personaje o mascota más llamativa
Tiene la cantidad de dulce que más me gusta
Es la más recomendada por especialistas
Es la más refrescante
Es la más rendidora
Es la marca endulzada naturalmente 
La más saludable para mis hijos 
Es la más nutritiva
Le da más confianza a las mamás
Es la marca que ayuda al crecimiento de mis hijos
Chocolisto chocolate;La que tiene el mejor sabor a chocolate
Chocolisto fresa;La que me da más energía
Chocolisto 50% menos azúcar;La más fácil de preparar
Chicos JGB;La mejor para deportistas
Choco Crash;La puede tomar toda la familia
Frescavena;La puedo tomar varias veces al día
Kola Granulada JGB Tarrito Rojo;Es la que más nos gusta a los niños 
Milo;Se puede comer como golosina
Milo Free;Tiene más variedad de sabores diferentes a chocolate
MK Kola Granulada;La que más me ayuda a crecer
Nesquik;Tiene los empaques más llamativos
Nucita;La que más me alimenta
Sustagen;La que tomo todos los días/ para todos los días
Toddy;18. La mejor para la lonchera
Es mi marca preferida
Tiene un sabor único
La que me dan como premio
Tiene el personaje o mascota que más me gusta
Es una marca para niños como yo
Tiene la cantidad de dulce como me gusta
Trae los muñecos que más me gustan
Es la más divertida
Es la más nutritiva
Es la marca que ayuda a mi crecimiento
Bogotano  ;Tiene el mejor sabor
Chocoexpress ;Es rendidora  
Chocolate La Especial;Es la que tiene el mejor aroma 
Chocolyne barra;La que más se interesa por sus consumidores
Chocolyne polvo;Es una marca moderna
Chocolatada;Es fácil de preparar
Cocoa Corona;La que me ayuda a cuidar la figura
Corona;Es innovadora
Corona Flash;Tiene más variedad de sabores
Cruz;Es la que me da más energía para afrontar el día
Diana;Es saludable
Gironés;Es provocativa
Luker barra;Es la que hace mejores promociones
Luker Fácil;Hace la cantidad de espuma que me gusta
Luker Light;La que tiene menos calorías
Quesada;Es la que menos deja residuos/ cunchos/ sedimentos 
Sol;La que es de puro cacao  
Sol 50% menos azúcar;Es para cualquier momento del día
Tesalia;La puedo tomar caliente o fría
Tolimax;Me mantiene lleno por más tiempo
Vita Chocolate;La marca de siempre
Es la que contiene menos azúcar
Ideal para reunirme con los que quiero
La que alimenta
Tiene el precio más justo
Me lo puedo tomar de diferentes formas y momentos 
Es mi marca preferida 
Adro;Es la marca que tiene los mejores empaques
Antojos;Es la marca que tiene las galletas más ricas
Caravana;Es la más innovadora
Chokis;Es la marca Premium/sofisticada
Delizze;Es la marca a la que más le tengo cariño
Colombina;Es la mejor marca para quedar bien
Festival Navidad;Es la marca que más tiene productos (tanto básicos como especiales)
Gamesa;Es la marca tradicional
Greco;Es la marca que encuentro en todas partes
Italo;Es la que me genera más confianza
Moments ;Es la marca que tiente más galletas especiales y únicas para la navidad
Mont Blanc;Es la marca que más promueve el espíritu navideño
Navichef;Es la mejor marca para ofrecer en las fiestas y reuniones
Navideñas;Es la mejor opción para regalar en navidad
Nestlé;Es la marca que más trae sorpresas en cada navidad
Noche Buena;Es la que más se le ve publicidad en navidad
Navidad Noel;Es la que más le gusta a los niños
Oreo;Esta marca es la que más ofrece productos para todos los gustos y bolsillos
Petitas;Es la marca que me ofrece las mejores experiencias 
Ramo;Es la marca más fácil de encontrar en el punto de venta
Surtidas;
Alpina;Es una empresa a la que le creo lo que me dice
Alquería;Es una empresa innovadora
Bimbo;Hace un aporte importante al desarrollo del país
Casa Luker;Es una empresa sólida y rentable
 Coca-Cola;Se interesa en mejorar la calidad de vida de las comunidades
Colanta;Protege el medio ambiente
Colcafe;Sugiere a las personas como vivir saludablemente
Colombina;Se preocupa por la buena alimentación y el bienestar de las personas
Compañía Nacional de Chocolates;Apoya el crecimiento de los negocios comercializadores de sus productos
Crem Helado;La que ofrece mayor variedad en alimentos y(o) bebidas
Doria;La más moderna
Kelloggs;La que tiene productos para toda la familia
Nestlé;La empresa que más sabe de nutrición
Noel;Es una empresa de excelente reputación y prestigio
Nutresa;Es una empresa que admiro y respeto
Postobón;Es la empresa con las marcas más reconocidas
Zenú;Encuentro sus productos en todas partes
Los precios de sus productos son justos
La empresa de alimentos más grande en Colombia
Margarita;Es la marca con la que más me identifico
Rizadas;Es la marca que más le gusta a mi familia
Súper Ricas ;Tiene productos que gustan a los niños
De todito;Es la mejor para compartir
El golpe;Es una marca divertida
Todo Rico;Es la marca de siempre
Doritos;Es una marca que me como sin culpa
Choclitos;Es una marca que elijo cuando quiero darme gusto
Maizitos;Es una marca que tiene publicidad para personas como yo
Tostacos;Es una marca que está en redes sociales
Cheetos;Tiene el sabor que más me gusta
Chokis;Tiene mayor variedad de sabores
Snacky;Es la que mejor calma el hambre
Yupis;Es la que más me da energía
Frito Lay;Es una buena opción para mi nutrición
Jacks;Tiene ingredientes que mejoran mi salud
La Especial;Ofrece ingredientes naturales
Manicero;Me ayuda a cuidar mi figura o mantener mi peso
Manimoto;Tiene los empaques más atractivos
Manitoba;Es la marca recomendada por expertos
Nature´s Heart;Es una marca que se preocupa por el medio ambiente
Tosh;Es una marca innovadora
Maní sin marca o artesanal;Es una marca moderna y actual
Cronch; Es una marca que tiene el precio justo para lo que recibo
La Reina; Es una marca que me permite experimentar cosas nuevas
Plátanos y yucas;Puede ser consumida en cualquier momento y lugar
Natuchips;Es una marca para todos los días
Turbana;La mejor para reuniones sociales
Quaker;
Sport;
Special K;
Club Social ;
Festival  ;
Fitness;
Oreo;
Popetas;
Yupi ;
Aconcagua;Es más nutritiva–alimenticia 
Acuenta;Es más práctica y rápida de preparar
Barilla;Es una marca cercana; entiende mis necesidades
Carozzi;Es una marca con tradición y trayectoria en el mercado
Don Vittorio;Es una marca de calidad
Jumbo;Es una marca innovadora
Líder;Es una pasta que engorda menos
Lucchetti;Le gusta a toda la familia
Maruchan;Sus pastas no se desarman / rompen al cocinarlas
Napoli;Sus pastas tienen una buena consistencia al cocinarlas
Parma;Tiene buen sabor
Romano;Tiene envases / empaques  atractivos
Suazo;"Tiene productos funcionales, beneficiosos para la salud"
Talliani;Tiene una buena relación precio - calidad
Trattoria;Tiene variedades para diferentes ocasiones
Vivo;Vale la pena pagar más por ella
Bridge;Es la mejor para llevar al colegio
Brinky;Es la marca con la que más me identifico
Can Can;Es la mejor para calmar el hambre
Capri;Es la marca que saca más productos nuevos 
Chips Ahoy;Es la mejor para comer en mi casa
Chokis;Es la marca que mejor va con la leche
Cocosette;Tiene el sabor que más me gusta
Ducales ;Es la marca más divertida
Festival;Es la que más le gusta a mis amigos
Glacitas;Tiene la crema que más me gusta
La Lechera;Es la que más se ve en la televisión
Mamut;Es la que mejor me calma un antojo
Milo;Es la mejor marca para compartir
Mini Chips;Es la marca más rica
Muuu;Tiene la mayor variedad de sabores
Nucita; Es la  marca que más está de moda
Oreo;Es la que me gusta comprar en el colegio y en la tienda
Ramo;Es la marca que le gusta a mi mamá
Recreo;Es la marca que todos conocen
Rondallas;
Tipo Leche;
Wafer Noel;
Tosh;
WaferJet;
Daily;"Es rico, tiene un muy buen sabor"
Fructus;Es de consumo familiar
Go Zuko Regular;Es el que prefieren los niños
Hikory;Es más natural
Livean;Es más refrescante
Marcas propias;Es más sano
Sprim Light ;Es rendidor
Sprim Regular;Es un producto de alta calidad
Vivo;Es una marca que da confianza
Zuko Light;Es una marca que se preocupa por el medio ambiente
Zuko Regular;Es una marca tradicional
Marca que siempre propone cosas nuevas
Su precio es adecuado a su calidad
Tiene el mejor sabor 
Tiene el respaldo de una organización relacionada a la salud o nutrición.
Tiene gran variedad de sabores
Tiene más sabor a fruta
Tiene menos colorante
Tiene Stevia
Tiene un dulzor agradable
Tiene una variedad con antioxidantes 
"Tiene una variedad light, de bajas calorías"
Tiene vitaminas
Da Noi;Acompaña momentos especiales
Dos Pinos;Constantemente lanza productos nuevos/ innovadora
Haagen Dazs;El servicio es rápido
Mc Donalds;Es la excusa para reunirse con los amigos
Moyo;Es la favorita de los niños
POPS;Es para halagar a alguien
Sarita;Es una marca moderna
TCBY;Es una marca que recomendaría a otros
Tuti Fruti;Es una marca que tiene variedad de sabores
Yogurberry;Hecha a base de ingredientes naturales / utiliza ingredientes naturales
La que me ha acompañado desde pequeño
Los empleados son amables/ ofrecen buena atención
Ofrece alternativas saludables
Para compartir con mi familia
Para compartir momentos alegres
Para darme un gusto
Puedo hacer el producto como a mí me gusta
Se preocupa por el medio ambiente
Sus instalaciones siempre están limpias
Sus instalaciones son modernas
Tiene el sabor más rico 
Tiene las mejores heladerías / establecimientos agradables
Tiene los mejores autoservicios / tiene variedad de autoservicios
Tiene una exhibición llamativa y apetitoso
Tiene variedades de productos que le gusta a los niños 
Vale la pena pagar más
Es la marca con la mejor crema batida / ofrece crema batida
Ofrece variedad de toppings
American Star;Es la que más me permite rendir el presupuesto o dinero que tengo
Bar S;En la que pienso cuando necesito algo práctico y rápido para consumir
Berard;Es para preparar gran variedad de platos
Blue Ribbon;La que más satisfecho me deja con el precio que pago por ella
Butterball;La que se identifica con la cultura de mi región
Campo Fino;Me da confianza para alimentar a mi familia
Del Día;Está hecha con los mejores ingredientes
El Compa;Es mi marca de toda la vida
First Choice;Tiene un sabor delicioso e irresistible
Hormel;Tiene un sabor único o diferente a todos
Kiener;La que consumo cuando quiero darme un gusto o premiarme
Melo;Me ayuda a llevar una vida saludable
Montuno;Me ayuda a verme y sentirme bien
Oscar Mayer;La que me ofrece bienestar y vitalidad
Premium Choice;La que se preocupa por la buena alimentación de mi familia
Rancho Grande;Es  para consumir en cualquier momento del día
Rimith;Es exclusiva
San Angel;Ideal para quedar lleno
Sunmark;Es la que se identifica con mi estilo de vida
Toledano;Es innovadora
Me permite llevar sus productos a cualquier parte
Me acompaña todos los días
Para acompañar las reuniones con familia o amigos
"Es práctica, fácil de preparar"
Reconoce y valora la labor de madre (mamá)
Me da la energía que necesito para el día
Me permite tener un desempeño mental y/o físico superior
Es rendidora
"La puedo consumir con tranquilidad, sin preocuparme por la cantidad consumida"
Me ofrece experiencias diferentes
Antojos;Es la marca más divertida de comer
Belvita;Es la galleta favorita de los niños
Bridge;Es la marca con la que más me identifico
Brinky;Es la marca más atractiva 
Can Can;Es la marca más baja en grasas y calorías
Capri;Es la marca más innovadora
Chips Ahoy;Es la marca más moderna
Chokis;Es la marca más provocativa
Cocosette;Es la más recomendada por los Expertos
Ducales ;Es la marca más saludable
Festival ;Es la mejor marca para compartir
Fitness/ Nesfit ;Es la mejor para satisfacer un antojo
La Lechera;Es la marca que contiene más ingredientes naturales
Mamut;Es la que me genera más confianza
Milo ;Es la que me ofrece más presentaciones
Mini Chips ;Es la mejor marca para calmar el hambre 
MontBlanc;Es la marca que mejor me alimenta
Muuu;Es la marca que tiene la mejor crema
Nucita;Es la marca que tiene más variedad de sabores
Oreo;Es la marca que se puede consumir en cualquier momento
Quaker;Es la mejor marca para toda la familia
Ramo;Es la marca más reconocida
Recreo;Es la marca más tradicional
Rondallas;Es una marca única
Sultana;Es la marca qué más puedo llevar a todas partes
Taeq;Es la marca que tiene el sabor que más me gusta
Tipo Leche;Es la marca que mejor va con la leche
Tosh ;
Wafer Noel;
WaferJet;
Wafer Italo;
Belvita;Es la que me genera más confianza
Club Social;Es la marca que se puede consumir en cualquier momento
Crakeñas;Es la marca más tradicional                       
Doré;Es una marca única
Ducales;Tiene el sabor que más me gusta
Dux;Es la marca más moderna
Fitness/ Nesfit;Es la marca que siempre tiene galletas más frescas y crujientes
Quaker;Es la que tiene más variedad de sabores
Ritz;Es la mejor marca para compartir
Sal Ricas;Es la mejor para satisfacer un antojo
Saltinas;Es la mejor marca para consumir en casa
Saltín Noel;Es la marca más saludable
Taeq;Es la marca más innovadora
Tosh;Es la marca que puedo llevar a todas partes
Es la mejor para combinar con todo
Es ideal para calmar el hambre
Es la más liviana
Es la marca con la que más me identifico
Es la más reconocida
Es la que mejor me alimenta
Es la que me ofrece más presentaciones
Es una marca para toda la familia
Es la marca que contiene más ingredientes naturales
Es la marca más baja en grasas y calorías
Es la más recomendada por los Expertos
Es la más marca más rendidora
Aretama;Me ayuda a ser más eficiente en el uso de mi presupuesto
Berna;En la que más pienso cuando necesito algo práctico y rápido para consumir
Carnelly;La mejor para preparar gran variedad de platos
Colsubsidio;La que más me ayuda a sentirme satisfecho con el precio que pago por el producto
Cunit    ;La más rendidora
Dan   ;La que más se identifica con la cultura de mi región
Delichicks;La que me da más confianza para la buena alimentación mía y de mi familia
Don Vitto;Está hecha con los mejores ingredientes
Ekono;La que me ha acompañado a disfrutar de todos los momentos a lo largo de la vida
Enriko;Tiene el sabor más delicioso e irresistible 
Excelenze;Tiene un sabor único o diferente a todos
Éxito   ;Me ofrece experiencias diferentes
Fricar;La que consumo cuando quiero darme un gusto o premiarme
Jumbo / Metro;La que más me ayuda a llevar una vida saludable
Kai; La que me ayuda a verme y sentirme bien
Koller;Es la que más me ayuda a darle lo mejor a mi cuerpo sin sacrificarme
La Cali;La que más me ofrece bienestar y vitalidad
La Fazenda;La que más se preocupa por la buena alimentación de mi familia
Montefrío;Tiene la mejor variedad de productos
Olimpica (Productos O);Es la mejor para consumir en cualquier momento del día
Parisienne;Es la más exclusiva 
Pietran   ;"Tiene las mejores ofertas, descuentos y promociones"
Pimpollo;Es la que más se identifica con el estilo de vida de los jóvenes
Porchi ;Es la más innovadora
Ranchera   ;Es la marca que me permite llevar sus productos a cualquier parte
Rica Rondo (Rica)  ;La experta en carnes frías
Salsan;
Zenú  ;
Taeq;
Viandé;
Barilla;Es la marca que más cuida la salud
Buena Mesa;Es la marca más apropiada para consumir en cualquier ocasión
Buon Giorno;Es la marca con la que puedo tener mayor variedad de platos y preparaciones
Comarrico;Es la marca que más quita el hambre
Conzazoni;Es la marca más fácil y rápida de preparar
Corticella;ES la marca más nutritiva
De Cecco;Es la marca que tiene los mejores empaques y presentaciones
Doria;Es la marca que más le gusta a toda la familia
El Pollo;Es la marca que me da más energía y vitalidad
Gavassa;Es la marca más tradicional/ de toda la vida
Ítala;Es la marca que me merezco
La bonita;Es la mejor marca para compartir con la familia
La Milanesa;Es la mejor marca para socializar/ compartir momentos
La Muñeca;Es la marca que me proporciona mayor placer
La Nieve;Es la marca de pasta que más crece
Lista;Es la marca más blanda/ Suave
Monticello;Es la marca que tiene la pasta más gruesa
Napolipasta;Es la marca más rendidora 
Nuria;Es la marca más innovadora
Pugliese;Es la más apetitosa/ provocativa
Rialto;Es la marca que menos se pega
Regia;Es la marca que tiene más proteínas
Romagnola;Es la marca que tiene el color más agradable al servirla
San Marcos;Es la marca que tiene el sabor más agradable
San Remo;Es la marca que trae la cantidad que necesito
Zonia;Es la que menos se parte
Es la que menos tiempo de preparación requiere 
Aloha Intense / Aloha Mix;Es la marca favorita de los niños
Aloha Paleta de Agua;Es la marca que más refresca
Aloha Vaso ;Es la marca que mejor acompaña momentos especiales
Bocatto Cono;"Es la marca que más frutas tiene, (trozos, pedazos)"
Bolero – Rico Helado;Es la marca que tiene menos calorías
Calipso – Rico Helado;Es la más cremosa
Choco Cono Crem Helado;Es la mejor excusa para reunirse con los amigos
Choco Robin Cono;Es la mejor marca para compartir con mi familia
Crem Helado Tradicional Litros;Es la mejor marca para compartir momentos alegres
Fruly Paleta de Agua;Es la marca que tiene los mejores elementos para coleccionar
Fruti ;Es la mejor para halagar a alguien
Helado Artesanal Crem Helado;Es la que mejor quita la ansiedad/me tranquiliza
Helado Casero Crem Helado;Es la marca ideal como pasa bocas
Jet Paleta;Es la marca ideal para consumir en la calle
 Mini Polet;Es la marca para premiarme
Paleta 3;Es la marca que tiene la mayor variedad de sabores
Pasión Ardiente;Es la marca que tiene la mejor publicidad
Platillo Sandwich Crem Helado;Es la marca que regala los mejores juguetes
Polet;Es la marca que mejor nos representa desde siempre
Qbon – Rico Helado;La que me ha acompañado desde pequeño.
Sinfonía Litros;Es la marca que tiene el sabor más intenso
 Tentacion – Rico Helado;Es la más cómoda/ práctica para consumir
Tentazione Paleta;Es la marca que constantemente lanza productos nuevos/ innovadora
Es la que tiene la cobertura más rica.
Es la más original
Es la marca que mejor me recompensa
Es la marca que tiene el sabor más rico 
La que refleja más mis gustos.
Es la marca que más sorprende
Aloha Intense; Es el Helado/Paleta favorita de los niños
Aloha Paleta de Agua;Es el Helado/Paleta que más me alimenta
Aloha Vaso;Es el Helado/Paleta que más me divierte
Bocatto Cono;Es el Helado/Paleta que más me enseña cosas
Bananito Crem Helado;Es el Helado/Paleta que más me refresca
Brinky Galleta;Es el Helado/Paleta que más me reta
Choco Cono Crem Helado;Es el Helado/Paleta que me deja compartir tiempo con mis papás
Cono Choco Robin;Es el Helado/Paleta que me permite jugar con mis amigos
Drácula;Es el Helado/Paleta que siempre tiene cosas nuevas
Emotions – Rico Helado;Es el Helado/Paleta que siempre tiene nuevos juguetes
Festihelado;Es el Helado/Paleta que tiene el sabor más rico
Fruly Paleta de Agua;Es el Helado/Paleta que tiene la forma más divertida
Fruti;Es el Helado/Paleta que tiene las mejores propagandas o comerciales
Heladino Crem Helado; Es el Helado/Paleta que trae mis personajes favoritos
Jet Paleta;Es el mejor Helado/Paleta para comer en momentos alegres
Lenguiletta;Es el Helado/Paleta con la que más me identifico
Mini Polet;
Mausi – Rico Helado;
Monster high Crem Helado;
Paleta 3;
Platillo Sandwich Crem Helado;
Polet;
Robin Hood Vaso Sorpresa;
Sorpresa – Rico Helado;
Águila Roja;La que tiene el mejor sabor
Aroma ;La más rendidora del mercado
Bastiyá;La que tiene el mejor aroma
Buendía;La que tiene el precio más Justo
Colcafé ;La que tiene la mejor calidad
Dolca ;La más representativa de mi país
Exito;La que más inspira a hacer que las cosas pasen
Juan Valdez;100% café colombiano
Jumbo;La más innovadora
Mariscal;La más tradicional
Medalla de Oro;La que tiene la mejor publicidad
Nescafé;La más reconocida
Olímpica;La mejor para compartir en familia
Viejo Molino;La más natural
La más apropiada para los expertos en café
La mejor para compartir con mis amigos
La más divertida/ Alegre
La que me ofrece los mejores productos al mejor precio
La que me ofrece mayor variedad de cafés instantáneos
Es la que hace las mejores promociones/ ofertas
Es la que me ayuda a llevar un estilo de vida más placentero
Es la ideal para consumir con leche
Es la que me consiente
Es la que tiene mayor variedad de sabores y para todos los gustos  
Se disuelve con mayor facilidad